wavelength value1 value2
789.1754780 1.5710599 307.0000000
789.2199400 1.5709714 310.0000000
789.2644020 1.5708829 337.0000000
789.3088640 1.5707944 312.0000000
789.3533260 1.5707060 323.0000000
789.3977880 1.5706175 309.0000000
789.4422500 1.5705290 324.0000000
789.4867120 1.5704406 363.0000000
789.5311740 1.5703521 330.0000000
789.5756360 1.5702637 334.0000000
789.6200980 1.5701753 333.0000000
789.6645600 1.5700869 360.0000000
789.7090220 1.5699985 326.0000000
789.7534840 1.5699101 368.0000000
789.7979460 1.5698217 317.0000000
789.8424080 1.5697334 363.0000000
789.8868700 1.5696450 355.0000000
789.9313320 1.5695566 394.0000000
789.9757940 1.5694683 379.0000000
790.0202560 1.5693800 383.0000000
790.0647180 1.5692917 376.0000000
790.1091800 1.5692033 403.0000000
790.1536420 1.5691150 373.0000000
790.1981040 1.5690268 390.0000000
790.2425660 1.5689385 426.0000000
790.2870280 1.5688502 425.0000000
790.3314900 1.5687620 435.0000000
790.3759520 1.5686737 433.0000000
790.4204140 1.5685855 386.0000000
790.4648760 1.5684972 429.0000000
790.5093380 1.5684090 431.0000000
790.5538000 1.5683208 448.0000000
790.5982620 1.5682326 418.0000000
790.6427240 1.5681444 447.0000000
790.6871860 1.5680562 438.0000000
790.7316480 1.5679681 459.0000000
790.7761100 1.5678799 438.0000000
790.8205720 1.5677918 444.0000000
790.8650340 1.5677036 462.0000000
790.9094960 1.5676155 449.0000000
790.9539580 1.5675274 456.0000000
790.9984200 1.5674392 425.0000000
791.0428820 1.5673511 470.0000000
791.0873440 1.5672631 455.0000000
791.1318060 1.5671750 483.0000000
791.1762680 1.5670869 464.0000000
791.2207300 1.5669988 499.0000000
791.2651920 1.5669108 471.0000000
791.3096540 1.5668228 473.0000000
791.3541160 1.5667347 495.0000000
791.3985780 1.5666467 531.0000000
791.4430400 1.5665587 470.0000000
791.4875020 1.5664707 526.0000000
791.5319640 1.5663827 528.0000000
791.5764260 1.5662947 497.0000000
791.6208880 1.5662067 522.0000000
791.6653500 1.5661188 510.0000000
791.7098120 1.5660308 535.0000000
791.7542740 1.5659429 529.0000000
791.7987360 1.5658549 540.0000000
791.8431980 1.5657670 554.0000000
791.8876600 1.5656791 538.0000000
791.9321220 1.5655912 572.0000000
791.9765840 1.5655033 561.0000000
792.0210460 1.5654154 579.0000000
792.0655080 1.5653276 568.0000000
792.1099700 1.5652397 577.0000000
792.1544320 1.5651518 590.0000000
792.1988940 1.5650640 566.0000000
792.2433560 1.5649762 622.0000000
792.2878180 1.5648883 586.0000000
792.3322800 1.5648005 584.0000000
792.3767420 1.5647127 636.0000000
792.4212040 1.5646249 638.0000000
792.4656660 1.5645371 642.0000000
792.5101280 1.5644494 626.0000000
792.5545900 1.5643616 640.0000000
792.5990520 1.5642738 670.0000000
792.6435140 1.5641861 648.0000000
792.6879760 1.5640984 692.0000000
792.7324380 1.5640106 691.0000000
792.7769000 1.5639229 717.0000000
792.8213620 1.5638352 776.0000000
792.8658240 1.5637475 763.0000000
792.9102860 1.5636598 778.0000000
792.9547480 1.5635722 739.0000000
792.9992100 1.5634845 780.0000000
793.0436720 1.5633968 779.0000000
793.0881340 1.5633092 811.0000000
793.1325960 1.5632216 863.0000000
793.1770580 1.5631339 806.0000000
793.2215200 1.5630463 823.0000000
793.2659820 1.5629587 857.0000000
793.3104440 1.5628711 817.0000000
793.3549060 1.5627835 888.0000000
793.3993680 1.5626959 884.0000000
793.4438300 1.5626084 917.0000000
793.4882920 1.5625208 933.0000000
793.5327540 1.5624333 896.0000000
793.5772160 1.5623457 950.0000000
793.6216780 1.5622582 956.0000000
793.6661400 1.5621707 969.0000000
793.7106020 1.5620832 1000.0000000
793.7550640 1.5619957 1005.0000000
793.7995260 1.5619082 1023.0000000
793.8439880 1.5618207 1064.0000000
793.8884500 1.5617332 1129.0000000
793.9329120 1.5616458 1093.0000000
793.9773740 1.5615583 1115.0000000
794.0218360 1.5614709 1103.0000000
794.0662980 1.5613834 1157.0000000
794.1107600 1.5612960 1152.0000000
794.1552220 1.5612086 1163.0000000
794.1996840 1.5611212 1176.0000000
794.2441460 1.5610338 1232.0000000
794.2886080 1.5609464 1283.0000000
794.3330700 1.5608591 1282.0000000
794.3775320 1.5607717 1300.0000000
794.4219940 1.5606843 1335.0000000
794.4664560 1.5605970 1241.0000000
794.5109180 1.5605097 1440.0000000
794.5553800 1.5604223 1392.0000000
794.5998420 1.5603350 1470.0000000
794.6443040 1.5602477 1466.0000000
794.6887660 1.5601604 1511.0000000
794.7332280 1.5600731 1529.0000000
794.7776900 1.5599859 1524.0000000
794.8221520 1.5598986 1574.0000000
794.8666140 1.5598114 1686.0000000
794.9110760 1.5597241 1645.0000000
794.9555380 1.5596369 1634.0000000
795.0000000 1.5595496 1770.0000000
795.0444620 1.5594624 1758.0000000
795.0889240 1.5593752 1723.0000000
795.1333860 1.5592880 1804.0000000
795.1778480 1.5592008 1906.0000000
