wavelength value1 value2
781.0389320 1.5874266 175.0000000
781.0833940 1.5873362 170.0000000
781.1278560 1.5872459 172.0000000
781.1723180 1.5871555 177.0000000
781.2167800 1.5870652 164.0000000
781.2612420 1.5869749 167.0000000
781.3057040 1.5868846 179.0000000
781.3501660 1.5867943 180.0000000
781.3946280 1.5867040 196.0000000
781.4390900 1.5866137 169.0000000
781.4835520 1.5865234 159.0000000
781.5280140 1.5864332 159.0000000
781.5724760 1.5863429 185.0000000
781.6169380 1.5862527 170.0000000
781.6614000 1.5861625 179.0000000
781.7058620 1.5860722 166.0000000
781.7503240 1.5859820 157.0000000
781.7947860 1.5858918 172.0000000
781.8392480 1.5858017 162.0000000
781.8837100 1.5857115 169.0000000
781.9281720 1.5856213 171.0000000
781.9726340 1.5855312 170.0000000
782.0170960 1.5854410 165.0000000
782.0615580 1.5853509 173.0000000
782.1060200 1.5852607 174.0000000
782.1504820 1.5851706 170.0000000
782.1949440 1.5850805 175.0000000
782.2394060 1.5849904 179.0000000
782.2838680 1.5849003 180.0000000
782.3283300 1.5848103 165.0000000
782.3727920 1.5847202 178.0000000
782.4172540 1.5846301 170.0000000
782.4617160 1.5845401 191.0000000
782.5061780 1.5844501 183.0000000
782.5506400 1.5843600 172.0000000
782.5951020 1.5842700 178.0000000
782.6395640 1.5841800 159.0000000
782.6840260 1.5840900 171.0000000
782.7284880 1.5840001 170.0000000
782.7729500 1.5839101 182.0000000
782.8174120 1.5838201 180.0000000
782.8618740 1.5837302 171.0000000
782.9063360 1.5836402 178.0000000
782.9507980 1.5835503 184.0000000
782.9952600 1.5834604 194.0000000
783.0397220 1.5833705 173.0000000
783.0841840 1.5832806 181.0000000
783.1286460 1.5831907 181.0000000
783.1731080 1.5831008 172.0000000
783.2175700 1.5830109 167.0000000
783.2620320 1.5829211 185.0000000
783.3064940 1.5828312 170.0000000
783.3509560 1.5827414 176.0000000
783.3954180 1.5826515 187.0000000
783.4398800 1.5825617 173.0000000
783.4843420 1.5824719 184.0000000
783.5288040 1.5823821 179.0000000
783.5732660 1.5822923 185.0000000
783.6177280 1.5822026 191.0000000
783.6621900 1.5821128 195.0000000
783.7066520 1.5820230 172.0000000
783.7511140 1.5819333 175.0000000
783.7955760 1.5818435 163.0000000
783.8400380 1.5817538 173.0000000
783.8845000 1.5816641 177.0000000
783.9289620 1.5815744 170.0000000
783.9734240 1.5814847 182.0000000
784.0178860 1.5813950 188.0000000
784.0623480 1.5813053 177.0000000
784.1068100 1.5812157 182.0000000
784.1512720 1.5811260 184.0000000
784.1957340 1.5810364 187.0000000
784.2401960 1.5809467 173.0000000
784.2846580 1.5808571 189.0000000
784.3291200 1.5807675 186.0000000
784.3735820 1.5806779 183.0000000
784.4180440 1.5805883 179.0000000
784.4625060 1.5804987 191.0000000
784.5069680 1.5804091 207.0000000
784.5514300 1.5803196 166.0000000
784.5958920 1.5802300 181.0000000
784.6403540 1.5801405 196.0000000
784.6848160 1.5800509 193.0000000
784.7292780 1.5799614 187.0000000
784.7737400 1.5798719 183.0000000
784.8182020 1.5797824 210.0000000
784.8626640 1.5796929 185.0000000
784.9071260 1.5796034 181.0000000
784.9515880 1.5795139 188.0000000
784.9960500 1.5794245 192.0000000
785.0405120 1.5793350 190.0000000
785.0849740 1.5792456 185.0000000
785.1294360 1.5791561 174.0000000
785.1738980 1.5790667 179.0000000
785.2183600 1.5789773 174.0000000
785.2628220 1.5788879 198.0000000
785.3072840 1.5787985 197.0000000
785.3517460 1.5787091 178.0000000
785.3962080 1.5786198 175.0000000
785.4406700 1.5785304 178.0000000
785.4851320 1.5784410 193.0000000
785.5295940 1.5783517 191.0000000
785.5740560 1.5782624 187.0000000
785.6185180 1.5781730 209.0000000
785.6629800 1.5780837 198.0000000
785.7074420 1.5779944 197.0000000
785.7519040 1.5779051 197.0000000
785.7963660 1.5778159 182.0000000
785.8408280 1.5777266 191.0000000
785.8852900 1.5776373 197.0000000
785.9297520 1.5775481 180.0000000
785.9742140 1.5774588 184.0000000
786.0186760 1.5773696 182.0000000
786.0631380 1.5772804 194.0000000
786.1076000 1.5771912 203.0000000
786.1520620 1.5771020 173.0000000
786.1965240 1.5770128 207.0000000
786.2409860 1.5769236 197.0000000
786.2854480 1.5768344 198.0000000
786.3299100 1.5767453 187.0000000
786.3743720 1.5766561 199.0000000
786.4188340 1.5765670 198.0000000
786.4632960 1.5764779 207.0000000
786.5077580 1.5763887 195.0000000
786.5522200 1.5762996 194.0000000
786.5966820 1.5762105 194.0000000
786.6411440 1.5761214 185.0000000
786.6856060 1.5760324 193.0000000
786.7300680 1.5759433 205.0000000
786.7745300 1.5758542 193.0000000
786.8189920 1.5757652 194.0000000
786.8634540 1.5756761 209.0000000
786.9079160 1.5755871 193.0000000
786.9523780 1.5754981 205.0000000
786.9968400 1.5754091 193.0000000
787.0413020 1.5753201 197.0000000
787.0857640 1.5752311 212.0000000
787.1302260 1.5751421 199.0000000
787.1746880 1.5750531 201.0000000
787.2191500 1.5749642 190.0000000
787.2636120 1.5748752 199.0000000
787.3080740 1.5747863 210.0000000
787.3525360 1.5746974 212.0000000
787.3969980 1.5746085 206.0000000
787.4414600 1.5745195 222.0000000
787.4859220 1.5744306 208.0000000
787.5303840 1.5743418 220.0000000
787.5748460 1.5742529 213.0000000
787.6193080 1.5741640 203.0000000
787.6637700 1.5740752 217.0000000
787.7082320 1.5739863 214.0000000
787.7526940 1.5738975 212.0000000
787.7971560 1.5738086 196.0000000
787.8416180 1.5737198 225.0000000
787.8860800 1.5736310 204.0000000
787.9305420 1.5735422 206.0000000
787.9750040 1.5734534 198.0000000
788.0194660 1.5733646 221.0000000
788.0639280 1.5732759 211.0000000
788.1083900 1.5731871 216.0000000
788.1528520 1.5730984 208.0000000
788.1973140 1.5730096 242.0000000
